id,word,letter1,letter2,letter3,letter4,letter5,letter1positionalrank,letter2positionalrank,letter3positionalrank,letter4positionalrank,letter5positionalrank,letter1totalrank,letter2totalrank,letter3totalrank,letter4totalrank,letter5totalrank,positionalrarityscore,summativerarityscore,answer,positionalraritypercentile,summativeraritypercentile
37,abmho,a,b,m,h,o,6,19,11,18,10,3,18,15,16,4,64,56,N,0.99,0.905565834
38,abode,a,b,o,d,e,6,19,4,11,2,3,18,4,11,2,42,38,Y,0.76,0.417514647
39,abohm,a,b,o,h,m,6,19,4,18,14,3,18,4,16,15,61,56,N,0.98,0.905565834
40,aboil,a,b,o,i,l,6,19,4,4,9,3,18,4,6,7,42,38,N,0.76,0.417514647
41,aboma,a,b,o,m,a,6,19,4,15,6,3,18,4,15,3,50,43,N,0.9,0.590425532
42,aboon,a,b,o,o,n,6,19,4,8,8,3,18,4,4,9,45,38,N,0.83,0.417514647
43,abord,a,b,o,r,d,6,19,4,7,4,3,18,4,5,11,40,41,N,0.71,0.52436016
44,abore,a,b,o,r,e,6,19,4,7,2,3,18,4,5,2,38,32,N,0.65,0.220629047
45,abort,a,b,o,r,t,6,19,4,7,5,3,18,4,5,8,41,38,Y,0.74,0.417514647
46,about,a,b,o,u,t,6,19,4,16,5,3,18,4,10,8,50,43,Y,0.9,0.590425532
47,above,a,b,o,v,e,6,19,4,20,2,3,18,4,22,2,51,49,Y,0.91,0.763259328
48,abram,a,b,r,a,m,6,19,2,2,14,3,18,5,3,15,43,44,N,0.79,0.624884366
49,abray,a,b,r,a,y,6,19,2,2,3,3,18,5,3,12,32,41,N,0.46,0.52436016
50,abrim,a,b,r,i,m,6,19,2,4,14,3,18,5,6,15,45,47,N,0.83,0.712997225
51,abrin,a,b,r,i,n,6,19,2,4,8,3,18,5,6,9,39,41,N,0.68,0.52436016
52,abris,a,b,r,i,s,6,19,2,4,1,3,18,5,6,1,32,33,N,0.46,0.249537465
53,absey,a,b,s,e,y,6,19,10,1,3,3,18,1,2,12,39,36,N,0.68,0.346284305
54,absit,a,b,s,i,t,6,19,10,4,5,3,18,1,6,8,44,36,N,0.81,0.346284305
55,abuna,a,b,u,n,a,6,19,8,5,6,3,18,10,9,3,44,43,N,0.81,0.590425532
56,abune,a,b,u,n,e,6,19,8,5,2,3,18,10,9,2,40,42,N,0.71,0.558510638
57,abuse,a,b,u,s,e,6,19,8,9,2,3,18,10,1,2,44,34,Y,0.81,0.2804502
58,abuts,a,b,u,t,s,6,19,8,3,1,3,18,10,8,1,37,40,N,0.62,0.490826395
59,abuzz,a,b,u,z,z,6,19,8,22,23,3,18,10,23,23,78,77,N,1,0.997841505
60,abyes,a,b,y,e,s,6,19,20,1,1,3,18,12,2,1,47,36,N,0.86,0.346284305
61,abysm,a,b,y,s,m,6,19,20,9,14,3,18,12,1,15,68,49,N,0.99,0.763259328
62,abyss,a,b,y,s,s,6,19,20,9,1,3,18,12,1,1,55,35,Y,0.95,0.312365094
63,acais,a,c,a,i,s,6,14,1,4,1,3,13,3,6,1,26,26,N,0.25,0.0871107
64,acari,a,c,a,r,i,6,14,1,7,12,3,13,3,5,6,40,30,N,0.71,0.165895776
65,accas,a,c,c,a,s,6,14,12,2,1,3,13,13,3,1,35,33,N,0.56,0.249537465
66,accoy,a,c,c,o,y,6,14,12,8,3,3,13,13,4,12,43,45,N,0.79,0.653484428
67,acerb,a,c,e,r,b,6,14,6,7,22,3,13,2,5,18,55,41,N,0.95,0.52436016
68,acers,a,c,e,r,s,6,14,6,7,1,3,13,2,5,1,34,24,N,0.53,0.060206599
69,aceta,a,c,e,t,a,6,14,6,3,6,3,13,2,8,3,35,29,N,0.56,0.145004625
70,achar,a,c,h,a,r,6,14,24,2,7,3,13,16,3,5,53,40,N,0.93,0.490826395
71,ached,a,c,h,e,d,6,14,24,1,4,3,13,16,2,11,49,45,N,0.89,0.653484428
72,aches,a,c,h,e,s,6,14,24,1,1,3,13,16,2,1,46,35,N,0.84,0.312365094
73,achoo,a,c,h,o,o,6,14,24,8,10,3,13,16,4,4,62,40,N,0.98,0.490826395
74,acids,a,c,i,d,s,6,14,3,11,1,3,13,6,11,1,35,34,N,0.56,0.2804502
75,acidy,a,c,i,d,y,6,14,3,11,3,3,13,6,11,12,37,45,N,0.62,0.653484428
76,acing,a,c,i,n,g,6,14,3,5,16,3,13,6,9,17,44,48,N,0.81,0.738282455
77,acini,a,c,i,n,i,6,14,3,5,12,3,13,6,9,6,40,37,N,0.71,0.380820228
78,ackee,a,c,k,e,e,6,14,17,1,2,3,13,19,2,2,40,39,N,0.71,0.452898551
79,acker,a,c,k,e,r,6,14,17,1,7,3,13,19,2,5,45,42,N,0.83,0.558510638
80,acmes,a,c,m,e,s,6,14,11,1,1,3,13,15,2,1,33,34,N,0.49,0.2804502
81,acmic,a,c,m,i,c,6,14,11,4,17,3,13,15,6,13,52,50,N,0.92,0.785769349
82,acned,a,c,n,e,d,6,14,5,1,4,3,13,9,2,11,30,38,N,0.39,0.417514647
83,acnes,a,c,n,e,s,6,14,5,1,1,3,13,9,2,1,27,28,N,0.28,0.121877891
84,acock,a,c,o,c,k,6,14,4,14,13,3,13,4,13,19,51,52,N,0.91,0.832947888
85,acold,a,c,o,l,d,6,14,4,6,4,3,13,4,7,11,34,38,N,0.53,0.417514647
86,acorn,a,c,o,r,n,6,14,4,7,8,3,13,4,5,9,39,34,Y,0.68,0.2804502
87,acred,a,c,r,e,d,6,14,2,1,4,3,13,5,2,11,27,34,N,0.28,0.2804502
88,acres,a,c,r,e,s,6,14,2,1,1,3,13,5,2,1,24,24,N,0.19,0.060206599
89,acrid,a,c,r,i,d,6,14,2,4,4,3,13,5,6,11,30,38,Y,0.39,0.417514647
90,acros,a,c,r,o,s,6,14,2,8,1,3,13,5,4,1,31,26,N,0.42,0.0871107
91,acted,a,c,t,e,d,6,14,9,1,4,3,13,8,2,11,34,37,N,0.53,0.380820228
92,actin,a,c,t,i,n,6,14,9,4,8,3,13,8,6,9,41,39,N,0.74,0.452898551
93,acton,a,c,t,o,n,6,14,9,8,8,3,13,8,4,9,45,37,N,0.83,0.380820228
94,actor,a,c,t,o,r,6,14,9,8,7,3,13,8,4,5,44,33,Y,0.81,0.249537465
95,acute,a,c,u,t,e,6,14,8,3,2,3,13,10,8,2,33,36,Y,0.49,0.346284305
96,acyls,a,c,y,l,s,6,14,20,6,1,3,13,12,7,1,47,36,N,0.86,0.346284305
97,adage,a,d,a,g,e,6,18,1,12,2,3,11,3,17,2,39,36,Y,0.68,0.346284305
98,adapt,a,d,a,p,t,6,18,1,13,5,3,11,3,14,8,43,39,Y,0.79,0.452898551
99,adaws,a,d,a,w,s,6,18,1,21,1,3,11,3,21,1,47,39,N,0.86,0.452898551
100,adays,a,d,a,y,s,6,18,1,23,1,3,11,3,12,1,49,30,N,0.89,0.165895776
101,adbot,a,d,b,o,t,6,18,16,8,5,3,11,18,4,8,53,44,N,0.93,0.624884366
102,addax,a,d,d,a,x,6,18,13,2,19,3,11,11,3,25,58,53,N,0.96,0.852605612
103,added,a,d,d,e,d,6,18,13,1,4,3,11,11,2,11,42,38,N,0.76,0.417514647
104,adder,a,d,d,e,r,6,18,13,1,7,3,11,11,2,5,45,32,N,0.83,0.220629047
105,addio,a,d,d,i,o,6,18,13,4,10,3,11,11,6,4,51,35,N,0.91,0.312365094
106,addle,a,d,d,l,e,6,18,13,6,2,3,11,11,7,2,45,34,N,0.83,0.2804502
107,adeem,a,d,e,e,m,6,18,6,1,14,3,11,2,2,15,45,33,N,0.83,0.249537465
108,adept,a,d,e,p,t,6,18,6,13,5,3,11,2,14,8,48,38,Y,0.88,0.417514647
109,adhan,a,d,h,a,n,6,18,24,2,8,3,11,16,3,9,58,42,N,0.96,0.558510638
110,adieu,a,d,i,e,u,6,18,3,1,20,3,11,6,2,10,48,32,N,0.88,0.220629047
111,adios,a,d,i,o,s,6,18,3,8,1,3,11,6,4,1,36,25,N,0.59,0.073851372
112,adits,a,d,i,t,s,6,18,3,3,1,3,11,6,8,1,31,29,N,0.42,0.145004625
113,adman,a,d,m,a,n,6,18,11,2,8,3,11,15,3,9,45,41,N,0.83,0.52436016
114,admen,a,d,m,e,n,6,18,11,1,8,3,11,15,2,9,44,40,N,0.81,0.490826395
115,admin,a,d,m,i,n,6,18,11,4,8,3,11,15,6,9,47,44,Y,0.86,0.624884366
116,admit,a,d,m,i,t,6,18,11,4,5,3,11,15,6,8,44,43,Y,0.81,0.590425532
117,admix,a,d,m,i,x,6,18,11,4,19,3,11,15,6,25,58,60,N,0.96,0.947656491
118,adobe,a,d,o,b,e,6,18,4,17,2,3,11,4,18,2,47,38,Y,0.86,0.417514647
119,adobo,a,d,o,b,o,6,18,4,17,10,3,11,4,18,4,55,40,N,0.95,0.490826395
120,adopt,a,d,o,p,t,6,18,4,13,5,3,11,4,14,8,46,40,Y,0.84,0.490826395
121,adore,a,d,o,r,e,6,18,4,7,2,3,11,4,5,2,37,25,Y,0.62,0.073851372
122,adorn,a,d,o,r,n,6,18,4,7,8,3,11,4,5,9,43,32,Y,0.79,0.220629047
123,adown,a,d,o,w,n,6,18,4,21,8,3,11,4,21,9,57,48,N,0.96,0.738282455
124,adoze,a,d,o,z,e,6,18,4,22,2,3,11,4,23,2,52,43,N,0.92,0.590425532
125,adrad,a,d,r,a,d,6,18,2,2,4,3,11,5,3,11,32,33,N,0.46,0.249537465
126,adred,a,d,r,e,d,6,18,2,1,4,3,11,5,2,11,31,32,N,0.42,0.220629047
127,adsum,a,d,s,u,m,6,18,10,16,14,3,11,1,10,15,64,40,N,0.99,0.490826395
128,aduki,a,d,u,k,i,6,18,8,10,12,3,11,10,19,6,54,49,N,0.94,0.763259328
129,adult,a,d,u,l,t,6,18,8,6,5,3,11,10,7,8,43,39,Y,0.79,0.452898551
130,adunc,a,d,u,n,c,6,18,8,5,17,3,11,10,9,13,54,46,N,0.94,0.684397163
131,adust,a,d,u,s,t,6,18,8,9,5,3,11,10,1,8,46,33,N,0.84,0.249537465
132,advew,a,d,v,e,w,6,18,19,1,21,3,11,22,2,21,65,59,N,0.99,0.937557817
133,adyta,a,d,y,t,a,6,18,20,3,6,3,11,12,8,3,53,37,N,0.93,0.380820228
134,adzed,a,d,z,e,d,6,18,22,1,4,3,11,23,2,11,51,50,N,0.91,0.785769349
135,adzes,a,d,z,e,s,6,18,22,1,1,3,11,23,2,1,48,40,N,0.88,0.490826395
136,aecia,a,e,c,i,a,6,3,12,4,6,3,2,13,6,3,31,27,N,0.42,0.103299414
137,aedes,a,e,d,e,s,6,3,13,1,1,3,2,11,2,1,24,19,N,0.19,0.018809744
138,aegis,a,e,g,i,s,6,3,14,4,1,3,2,17,6,1,28,29,N,0.31,0.145004625
139,aeons,a,e,o,n,s,6,3,4,5,1,3,2,4,9,1,19,19,N,0.08,0.018809744
140,aerie,a,e,r,i,e,6,3,2,4,2,3,2,5,6,2,17,18,N,0.05,0.014184397
141,aeros,a,e,r,o,s,6,3,2,8,1,3,2,5,4,1,20,15,N,0.09,0.005781684
142,aesir,a,e,s,i,r,6,3,10,4,7,3,2,1,6,5,30,17,N,0.39,0.010329941
143,afald,a,f,a,l,d,6,24,1,6,4,3,20,3,7,11,41,44,N,0.74,0.624884366
144,afara,a,f,a,r,a,6,24,1,7,6,3,20,3,5,3,44,34,N,0.81,0.2804502
145,afars,a,f,a,r,s,6,24,1,7,1,3,20,3,5,1,39,32,N,0.68,0.220629047
146,afear,a,f,e,a,r,6,24,6,2,7,3,20,2,3,5,45,33,N,0.83,0.249537465
147,affix,a,f,f,i,x,6,24,21,4,19,3,20,20,6,25,74,74,Y,1,0.996222633
148,afire,a,f,i,r,e,6,24,3,7,2,3,20,6,5,2,42,36,Y,0.76,0.346284305
149,aflaj,a,f,l,a,j,6,24,7,2,26,3,20,7,3,24,65,57,N,0.99,0.917052112
150,afoot,a,f,o,o,t,6,24,4,8,5,3,20,4,4,8,47,39,Y,0.86,0.452898551
151,afore,a,f,o,r,e,6,24,4,7,2,3,20,4,5,2,43,34,N,0.79,0.2804502
152,afoul,a,f,o,u,l,6,24,4,16,9,3,20,4,10,7,59,44,Y,0.97,0.624884366
153,afrit,a,f,r,i,t,6,24,2,4,5,3,20,5,6,8,41,42,N,0.74,0.558510638
154,afros,a,f,r,o,s,6,24,2,8,1,3,20,5,4,1,41,33,N,0.74,0.249537465
155,after,a,f,t,e,r,6,24,9,1,7,3,20,8,2,5,47,38,Y,0.86,0.417514647
156,again,a,g,a,i,n,6,20,1,4,8,3,17,3,6,9,39,38,Y,0.68,0.417514647
157,agama,a,g,a,m,a,6,20,1,15,6,3,17,3,15,3,48,41,N,0.88,0.52436016
158,agami,a,g,a,m,i,6,20,1,15,12,3,17,3,15,6,54,44,N,0.94,0.624884366
159,agape,a,g,a,p,e,6,20,1,13,2,3,17,3,14,2,42,39,Y,0.76,0.452898551
160,agars,a,g,a,r,s,6,20,1,7,1,3,17,3,5,1,35,29,N,0.56,0.145004625
161,agast,a,g,a,s,t,6,20,1,9,5,3,17,3,1,8,41,32,N,0.74,0.220629047
162,agate,a,g,a,t,e,6,20,1,3,2,3,17,3,8,2,32,33,Y,0.46,0.249537465
163,agave,a,g,a,v,e,6,20,1,20,2,3,17,3,22,2,49,47,N,0.89,0.712997225
164,agaze,a,g,a,z,e,6,20,1,22,2,3,17,3,23,2,51,48,N,0.91,0.738282455
165,agene,a,g,e,n,e,6,20,6,5,2,3,17,2,9,2,39,33,N,0.68,0.249537465
166,agent,a,g,e,n,t,6,20,6,5,5,3,17,2,9,8,42,39,Y,0.76,0.452898551
167,agers,a,g,e,r,s,6,20,6,7,1,3,17,2,5,1,40,28,N,0.71,0.121877891
168,agger,a,g,g,e,r,6,20,14,1,7,3,17,17,2,5,48,44,N,0.88,0.624884366
169,aggie,a,g,g,i,e,6,20,14,4,2,3,17,17,6,2,46,45,N,0.84,0.653484428
170,aggri,a,g,g,r,i,6,20,14,7,12,3,17,17,5,6,59,48,N,0.97,0.738282455
171,aggro,a,g,g,r,o,6,20,14,7,10,3,17,17,5,4,57,46,N,0.96,0.684397163
172,aggry,a,g,g,r,y,6,20,14,7,3,3,17,17,5,12,50,54,N,0.9,0.873342584
173,aghas,a,g,h,a,s,6,20,24,2,1,3,17,16,3,1,53,40,N,0.93,0.490826395
174,agila,a,g,i,l,a,6,20,3,6,6,3,17,6,7,3,41,36,N,0.74,0.346284305
175,agile,a,g,i,l,e,6,20,3,6,2,3,17,6,7,2,37,35,Y,0.62,0.312365094
176,aging,a,g,i,n,g,6,20,3,5,16,3,17,6,9,17,50,52,Y,0.9,0.832947888
177,agios,a,g,i,o,s,6,20,3,8,1,3,17,6,4,1,38,31,N,0.65,0.19164354
178,agism,a,g,i,s,m,6,20,3,9,14,3,17,6,1,15,52,42,N,0.92,0.558510638
179,agist,a,g,i,s,t,6,20,3,9,5,3,17,6,1,8,43,35,N,0.79,0.312365094
180,agita,a,g,i,t,a,6,20,3,3,6,3,17,6,8,3,38,37,N,0.65,0.380820228
181,aglee,a,g,l,e,e,6,20,7,1,2,3,17,7,2,2,36,31,N,0.59,0.19164354
182,aglet,a,g,l,e,t,6,20,7,1,5,3,17,7,2,8,39,37,N,0.68,0.380820228
183,agley,a,g,l,e,y,6,20,7,1,3,3,17,7,2,12,37,41,N,0.62,0.52436016
184,agloo,a,g,l,o,o,6,20,7,8,10,3,17,7,4,4,51,35,N,0.91,0.312365094
185,aglow,a,g,l,o,w,6,20,7,8,21,3,17,7,4,21,62,52,Y,0.98,0.832947888
186,aglus,a,g,l,u,s,6,20,7,16,1,3,17,7,10,1,50,38,N,0.9,0.417514647
187,agmas,a,g,m,a,s,6,20,11,2,1,3,17,15,3,1,40,39,N,0.71,0.452898551
188,agoge,a,g,o,g,e,6,20,4,12,2,3,17,4,17,2,44,43,N,0.81,0.590425532
189,agone,a,g,o,n,e,6,20,4,5,2,3,17,4,9,2,37,35,N,0.62,0.312365094
190,agons,a,g,o,n,s,6,20,4,5,1,3,17,4,9,1,36,34,N,0.59,0.2804502
191,agony,a,g,o,n,y,6,20,4,5,3,3,17,4,9,12,38,45,Y,0.65,0.653484428
192,agood,a,g,o,o,d,6,20,4,8,4,3,17,4,4,11,42,39,N,0.76,0.452898551
193,agora,a,g,o,r,a,6,20,4,7,6,3,17,4,5,3,43,32,Y,0.79,0.220629047
194,agree,a,g,r,e,e,6,20,2,1,2,3,17,5,2,2,31,29,Y,0.42,0.145004625
195,agria,a,g,r,i,a,6,20,2,4,6,3,17,5,6,3,38,34,N,0.65,0.2804502
196,agrin,a,g,r,i,n,6,20,2,4,8,3,17,5,6,9,40,40,N,0.71,0.490826395
197,agros,a,g,r,o,s,6,20,2,8,1,3,17,5,4,1,37,30,N,0.62,0.165895776
198,agued,a,g,u,e,d,6,20,8,1,4,3,17,10,2,11,39,43,N,0.68,0.590425532
199,agues,a,g,u,e,s,6,20,8,1,1,3,17,10,2,1,36,33,N,0.59,0.249537465
200,aguna,a,g,u,n,a,6,20,8,5,6,3,17,10,9,3,45,42,N,0.83,0.558510638
201,aguti,a,g,u,t,i,6,20,8,3,12,3,17,10,8,6,49,44,N,0.89,0.624884366
202,ahead,a,h,e,a,d,6,8,6,2,4,3,16,2,3,11,26,35,Y,0.25,0.312365094
203,aheap,a,h,e,a,p,6,8,6,2,15,3,16,2,3,14,37,38,N,0.62,0.417514647
204,ahent,a,h,e,n,t,6,8,6,5,5,3,16,2,9,8,30,38,N,0.39,0.417514647
205,ahigh,a,h,i,g,h,6,8,3,12,11,3,16,6,17,16,40,58,N,0.71,0.928230034
206,ahind,a,h,i,n,d,6,8,3,5,4,3,16,6,9,11,26,45,N,0.25,0.653484428
207,ahing,a,h,i,n,g,6,8,3,5,16,3,16,6,9,17,38,51,N,0.65,0.810823312
208,ahint,a,h,i,n,t,6,8,3,5,5,3,16,6,9,8,27,42,N,0.28,0.558510638
209,ahold,a,h,o,l,d,6,8,4,6,4,3,16,4,7,11,28,41,N,0.31,0.52436016
210,ahull,a,h,u,l,l,6,8,8,6,9,3,16,10,7,7,37,43,N,0.62,0.590425532
211,ahuru,a,h,u,r,u,6,8,8,7,20,3,16,10,5,10,49,44,N,0.89,0.624884366
212,aidas,a,i,d,a,s,6,4,13,2,1,3,6,11,3,1,26,24,N,0.25,0.060206599
213,aided,a,i,d,e,d,6,4,13,1,4,3,6,11,2,11,28,33,N,0.31,0.249537465
214,aider,a,i,d,e,r,6,4,13,1,7,3,6,11,2,5,31,27,Y,0.42,0.103299414
215,aides,a,i,d,e,s,6,4,13,1,1,3,6,11,2,1,25,23,N,0.22,0.049105766
216,aidoi,a,i,d,o,i,6,4,13,8,12,3,6,11,4,6,43,30,N,0.79,0.165895776
217,aidos,a,i,d,o,s,6,4,13,8,1,3,6,11,4,1,32,25,N,0.46,0.073851372
218,aiery,a,i,e,r,y,6,4,6,7,3,3,6,2,5,12,26,28,N,0.25,0.121877891
219,aigas,a,i,g,a,s,6,4,14,2,1,3,6,17,3,1,27,30,N,0.28,0.165895776
220,aight,a,i,g,h,t,6,4,14,18,5,3,6,17,16,8,47,50,N,0.86,0.785769349
221,ailed,a,i,l,e,d,6,4,7,1,4,3,6,7,2,11,22,29,N,0.14,0.145004625
222,aimed,a,i,m,e,d,6,4,11,1,4,3,6,15,2,11,26,37,N,0.25,0.380820228
223,aimer,a,i,m,e,r,6,4,11,1,7,3,6,15,2,5,29,31,N,0.35,0.19164354
224,ainee,a,i,n,e,e,6,4,5,1,2,3,6,9,2,2,18,22,N,0.06,0.039469627
225,ainga,a,i,n,g,a,6,4,5,12,6,3,6,9,17,3,33,38,N,0.49,0.417514647
226,aioli,a,i,o,l,i,6,4,4,6,12,3,6,4,7,6,32,26,N,0.46,0.0871107
227,aired,a,i,r,e,d,6,4,2,1,4,3,6,5,2,11,17,27,N,0.05,0.103299414
228,airer,a,i,r,e,r,6,4,2,1,7,3,6,5,2,5,20,21,N,0.09,0.030835646
229,airns,a,i,r,n,s,6,4,2,5,1,3,6,5,9,1,18,24,N,0.06,0.060206599
230,airth,a,i,r,t,h,6,4,2,3,11,3,6,5,8,16,26,38,N,0.25,0.417514647
231,airts,a,i,r,t,s,6,4,2,3,1,3,6,5,8,1,16,23,N,0.03,0.049105766
232,aisle,a,i,s,l,e,6,4,10,6,2,3,6,1,7,2,28,19,Y,0.31,0.018809744
233,aitch,a,i,t,c,h,6,4,9,14,11,3,6,8,13,16,44,46,N,0.81,0.684397163
234,aitus,a,i,t,u,s,6,4,9,16,1,3,6,8,10,1,36,28,N,0.59,0.121877891
235,aiver,a,i,v,e,r,6,4,19,1,7,3,6,22,2,5,37,38,N,0.62,0.417514647
236,aiyee,a,i,y,e,e,6,4,20,1,2,3,6,12,2,2,33,25,N,0.49,0.073851372
237,aizle,a,i,z,l,e,6,4,22,6,2,3,6,23,7,2,40,41,N,0.71,0.52436016
238,ajies,a,j,i,e,s,6,26,3,1,1,3,24,6,2,1,37,36,N,0.62,0.346284305
239,ajiva,a,j,i,v,a,6,26,3,20,6,3,24,6,22,3,61,58,N,0.98,0.928230034
240,ajuga,a,j,u,g,a,6,26,8,12,6,3,24,10,17,3,58,57,N,0.96,0.917052112
241,ajwan,a,j,w,a,n,6,26,18,2,8,3,24,21,3,9,60,60,N,0.97,0.947656491
242,akees,a,k,e,e,s,6,16,6,1,1,3,19,2,2,1,30,27,N,0.39,0.103299414
243,akela,a,k,e,l,a,6,16,6,6,6,3,19,2,7,3,40,34,N,0.71,0.2804502
244,akene,a,k,e,n,e,6,16,6,5,2,3,19,2,9,2,35,35,N,0.56,0.312365094
245,aking,a,k,i,n,g,6,16,3,5,16,3,19,6,9,17,46,54,N,0.84,0.873342584
246,akita,a,k,i,t,a,6,16,3,3,6,3,19,6,8,3,34,39,N,0.53,0.452898551
247,akkas,a,k,k,a,s,6,16,17,2,1,3,19,19,3,1,42,45,N,0.76,0.653484428
248,alaap,a,l,a,a,p,6,7,1,2,15,3,7,3,3,14,31,30,N,0.42,0.165895776
249,alack,a,l,a,c,k,6,7,1,14,13,3,7,3,13,19,41,45,N,0.74,0.653484428
250,alamo,a,l,a,m,o,6,7,1,15,10,3,7,3,15,4,39,32,N,0.68,0.220629047
251,aland,a,l,a,n,d,6,7,1,5,4,3,7,3,9,11,23,33,N,0.17,0.249537465
252,alane,a,l,a,n,e,6,7,1,5,2,3,7,3,9,2,21,24,N,0.11,0.060206599
253,alang,a,l,a,n,g,6,7,1,5,16,3,7,3,9,17,35,39,N,0.56,0.452898551
254,alans,a,l,a,n,s,6,7,1,5,1,3,7,3,9,1,20,23,N,0.09,0.049105766
255,alant,a,l,a,n,t,6,7,1,5,5,3,7,3,9,8,24,30,N,0.19,0.165895776
256,alapa,a,l,a,p,a,6,7,1,13,6,3,7,3,14,3,33,30,N,0.49,0.165895776
257,alaps,a,l,a,p,s,6,7,1,13,1,3,7,3,14,1,28,28,N,0.31,0.121877891
258,alarm,a,l,a,r,m,6,7,1,7,14,3,7,3,5,15,35,33,Y,0.56,0.249537465
259,alary,a,l,a,r,y,6,7,1,7,3,3,7,3,5,12,24,30,N,0.19,0.165895776
260,alate,a,l,a,t,e,6,7,1,3,2,3,7,3,8,2,19,23,N,0.08,0.049105766
261,alays,a,l,a,y,s,6,7,1,23,1,3,7,3,12,1,38,26,N,0.65,0.0871107
262,albas,a,l,b,a,s,6,7,16,2,1,3,7,18,3,1,32,32,N,0.46,0.220629047
263,albee,a,l,b,e,e,6,7,16,1,2,3,7,18,2,2,32,32,N,0.46,0.220629047
264,album,a,l,b,u,m,6,7,16,16,14,3,7,18,10,15,59,53,Y,0.97,0.852605612
265,alcid,a,l,c,i,d,6,7,12,4,4,3,7,13,6,11,33,40,N,0.49,0.490826395
