id,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,totalrank
80,adays,a,d,a,y,s,6,19,2,22,1,50
81,adbot,a,d,b,o,t,6,19,16,8,6,55
82,addax,a,d,d,a,x,6,19,13,2,19,59
83,added,a,d,d,e,d,6,19,13,1,4,43
84,adder,a,d,d,e,r,6,19,13,1,7,46
85,addio,a,d,d,i,o,6,19,13,4,9,51
86,addle,a,d,d,l,e,6,19,13,5,2,45
87,adeem,a,d,e,e,m,6,19,7,1,14,47
88,adhan,a,d,h,a,n,6,19,24,2,8,59
89,adieu,a,d,i,e,u,6,19,4,1,18,48
90,adios,a,d,i,o,s,6,19,4,8,1,38
91,adits,a,d,i,t,s,6,19,4,3,1,33
92,adman,a,d,m,a,n,6,19,11,2,8,46
93,admen,a,d,m,e,n,6,19,11,1,8,45
94,admix,a,d,m,i,x,6,19,11,4,19,59
95,adobo,a,d,o,b,o,6,19,5,17,9,56
96,adown,a,d,o,w,n,6,19,5,23,8,61
97,adoze,a,d,o,z,e,6,19,5,21,2,53
98,adrad,a,d,r,a,d,6,19,1,2,4,32
99,adred,a,d,r,e,d,6,19,1,1,4,31
100,adsum,a,d,s,u,m,6,19,10,15,14,64
101,aduki,a,d,u,k,i,6,19,9,9,11,54
102,adunc,a,d,u,n,c,6,19,9,6,16,56
103,adust,a,d,u,s,t,6,19,9,13,6,53
104,advew,a,d,v,e,w,6,19,19,1,22,67
105,adyta,a,d,y,t,a,6,19,20,3,5,53
106,adzed,a,d,z,e,d,6,19,22,1,4,52
107,adzes,a,d,z,e,s,6,19,22,1,1,49
108,aecia,a,e,c,i,a,6,3,12,4,5,30
109,aedes,a,e,d,e,s,6,3,13,1,1,24
110,aegis,a,e,g,i,s,6,3,15,4,1,29
111,aeons,a,e,o,n,s,6,3,5,6,1,21
112,aerie,a,e,r,i,e,6,3,1,4,2,16
113,aeros,a,e,r,o,s,6,3,1,8,1,19
114,aesir,a,e,s,i,r,6,3,10,4,7,30
115,afald,a,f,a,l,d,6,24,2,5,4,41
116,afara,a,f,a,r,a,6,24,2,7,5,44
117,afars,a,f,a,r,s,6,24,2,7,1,40
118,afear,a,f,e,a,r,6,24,7,2,7,46
119,aflaj,a,f,l,a,j,6,24,6,2,26,64
120,afore,a,f,o,r,e,6,24,5,7,2,44
121,afrit,a,f,r,i,t,6,24,1,4,6,41
122,afros,a,f,r,o,s,6,24,1,8,1,40
123,agama,a,g,a,m,a,6,19,2,14,5,46
124,agami,a,g,a,m,i,6,19,2,14,11,52
125,agars,a,g,a,r,s,6,19,2,7,1,35
126,agast,a,g,a,s,t,6,19,2,13,6,46
127,agave,a,g,a,v,e,6,19,2,20,2,49
128,agaze,a,g,a,z,e,6,19,2,21,2,50
129,agene,a,g,e,n,e,6,19,7,6,2,40
130,agers,a,g,e,r,s,6,19,7,7,1,40
131,agger,a,g,g,e,r,6,19,15,1,7,48
132,aggie,a,g,g,i,e,6,19,15,4,2,46
133,aggri,a,g,g,r,i,6,19,15,7,11,58
134,aggro,a,g,g,r,o,6,19,15,7,9,56
135,aggry,a,g,g,r,y,6,19,15,7,3,50
136,aghas,a,g,h,a,s,6,19,24,2,1,52
137,agila,a,g,i,l,a,6,19,4,5,5,39
138,agios,a,g,i,o,s,6,19,4,8,1,38
139,agism,a,g,i,s,m,6,19,4,13,14,56
140,agist,a,g,i,s,t,6,19,4,13,6,48
141,agita,a,g,i,t,a,6,19,4,3,5,37
142,aglee,a,g,l,e,e,6,19,6,1,2,34
143,aglet,a,g,l,e,t,6,19,6,1,6,38
144,agley,a,g,l,e,y,6,19,6,1,3,35
145,agloo,a,g,l,o,o,6,19,6,8,9,48
146,aglus,a,g,l,u,s,6,19,6,15,1,47
147,agmas,a,g,m,a,s,6,19,11,2,1,39
148,agoge,a,g,o,g,e,6,19,5,12,2,44
149,agone,a,g,o,n,e,6,19,5,6,2,38
150,agons,a,g,o,n,s,6,19,5,6,1,37
151,agood,a,g,o,o,d,6,19,5,8,4,42
152,agria,a,g,r,i,a,6,19,1,4,5,35
153,agrin,a,g,r,i,n,6,19,1,4,8,38
154,agros,a,g,r,o,s,6,19,1,8,1,35
155,agued,a,g,u,e,d,6,19,9,1,4,39
156,agues,a,g,u,e,s,6,19,9,1,1,36
157,aguna,a,g,u,n,a,6,19,9,6,5,45
158,aguti,a,g,u,t,i,6,19,9,3,11,48
159,aheap,a,h,e,a,p,6,8,7,2,17,40
160,ahent,a,h,e,n,t,6,8,7,6,6,33
161,ahigh,a,h,i,g,h,6,8,4,12,12,42
162,ahind,a,h,i,n,d,6,8,4,6,4,28
163,ahing,a,h,i,n,g,6,8,4,6,15,39
164,ahint,a,h,i,n,t,6,8,4,6,6,30
165,ahold,a,h,o,l,d,6,8,5,5,4,28
166,ahull,a,h,u,l,l,6,8,9,5,10,38
167,ahuru,a,h,u,r,u,6,8,9,7,18,48
168,aidas,a,i,d,a,s,6,4,13,2,1,26
169,aided,a,i,d,e,d,6,4,13,1,4,28
170,aides,a,i,d,e,s,6,4,13,1,1,25
171,aidoi,a,i,d,o,i,6,4,13,8,11,42
172,aidos,a,i,d,o,s,6,4,13,8,1,32
173,aiery,a,i,e,r,y,6,4,7,7,3,27
174,aigas,a,i,g,a,s,6,4,15,2,1,28
175,aight,a,i,g,h,t,6,4,15,18,6,49
176,ailed,a,i,l,e,d,6,4,6,1,4,21
177,aimed,a,i,m,e,d,6,4,11,1,4,26
178,aimer,a,i,m,e,r,6,4,11,1,7,29
179,ainee,a,i,n,e,e,6,4,3,1,2,16
180,ainga,a,i,n,g,a,6,4,3,12,5,30
181,aioli,a,i,o,l,i,6,4,5,5,11,31
182,aired,a,i,r,e,d,6,4,1,1,4,16
183,airer,a,i,r,e,r,6,4,1,1,7,19
184,airns,a,i,r,n,s,6,4,1,6,1,18
185,airth,a,i,r,t,h,6,4,1,3,12,26
186,airts,a,i,r,t,s,6,4,1,3,1,15
187,aitch,a,i,t,c,h,6,4,8,16,12,46
188,aitus,a,i,t,u,s,6,4,8,15,1,34
189,aiver,a,i,v,e,r,6,4,19,1,7,37
190,aiyee,a,i,y,e,e,6,4,20,1,2,33
191,aizle,a,i,z,l,e,6,4,22,5,2,39
192,ajies,a,j,i,e,s,6,26,4,1,1,38
193,ajiva,a,j,i,v,a,6,26,4,20,5,61
194,ajuga,a,j,u,g,a,6,26,9,12,5,58
195,ajwan,a,j,w,a,n,6,26,18,2,8,60
196,akees,a,k,e,e,s,6,16,7,1,1,31
197,akela,a,k,e,l,a,6,16,7,5,5,39
198,akene,a,k,e,n,e,6,16,7,6,2,37
199,aking,a,k,i,n,g,6,16,4,6,15,47
200,akita,a,k,i,t,a,6,16,4,3,5,34
201,akkas,a,k,k,a,s,6,16,17,2,1,42
202,alaap,a,l,a,a,p,6,7,2,2,17,34
203,alack,a,l,a,c,k,6,7,2,16,13,44
204,alamo,a,l,a,m,o,6,7,2,14,9,38
205,aland,a,l,a,n,d,6,7,2,6,4,25
206,alane,a,l,a,n,e,6,7,2,6,2,23
207,alang,a,l,a,n,g,6,7,2,6,15,36
208,alans,a,l,a,n,s,6,7,2,6,1,22
209,alant,a,l,a,n,t,6,7,2,6,6,27
210,alapa,a,l,a,p,a,6,7,2,11,5,31
211,alaps,a,l,a,p,s,6,7,2,11,1,27
212,alary,a,l,a,r,y,6,7,2,7,3,25
213,alate,a,l,a,t,e,6,7,2,3,2,20
214,alays,a,l,a,y,s,6,7,2,22,1,38
215,albas,a,l,b,a,s,6,7,16,2,1,32
216,albee,a,l,b,e,e,6,7,16,1,2,32
217,alcid,a,l,c,i,d,6,7,12,4,4,33
218,alcos,a,l,c,o,s,6,7,12,8,1,34
219,aldea,a,l,d,e,a,6,7,13,1,5,32
220,alder,a,l,d,e,r,6,7,13,1,7,34
221,aldol,a,l,d,o,l,6,7,13,8,10,44
222,aleck,a,l,e,c,k,6,7,7,16,13,49
223,alecs,a,l,e,c,s,6,7,7,16,1,37
224,alefs,a,l,e,f,s,6,7,7,19,1,40
225,aleft,a,l,e,f,t,6,7,7,19,6,45
226,aleph,a,l,e,p,h,6,7,7,11,12,43
227,alews,a,l,e,w,s,6,7,7,23,1,44
228,aleye,a,l,e,y,e,6,7,7,22,2,44
229,alfas,a,l,f,a,s,6,7,21,2,1,37
230,algal,a,l,g,a,l,6,7,15,2,10,40
231,algas,a,l,g,a,s,6,7,15,2,1,31
232,algid,a,l,g,i,d,6,7,15,4,4,36
233,algin,a,l,g,i,n,6,7,15,4,8,40
234,algor,a,l,g,o,r,6,7,15,8,7,43
235,algum,a,l,g,u,m,6,7,15,15,14,57
236,alias,a,l,i,a,s,6,7,4,2,1,20
237,alifs,a,l,i,f,s,6,7,4,19,1,37
238,aline,a,l,i,n,e,6,7,4,6,2,25
239,alist,a,l,i,s,t,6,7,4,13,6,36
240,aliya,a,l,i,y,a,6,7,4,22,5,44
241,alkie,a,l,k,i,e,6,7,17,4,2,36
242,alkos,a,l,k,o,s,6,7,17,8,1,39
243,alkyd,a,l,k,y,d,6,7,17,22,4,56
244,alkyl,a,l,k,y,l,6,7,17,22,10,62
245,allee,a,l,l,e,e,6,7,6,1,2,22
246,allel,a,l,l,e,l,6,7,6,1,10,30
247,allis,a,l,l,i,s,6,7,6,4,1,24
248,allod,a,l,l,o,d,6,7,6,8,4,31
249,allyl,a,l,l,y,l,6,7,6,22,10,51
250,almah,a,l,m,a,h,6,7,11,2,12,38
251,almas,a,l,m,a,s,6,7,11,2,1,27
252,almeh,a,l,m,e,h,6,7,11,1,12,37
253,almes,a,l,m,e,s,6,7,11,1,1,26
254,almud,a,l,m,u,d,6,7,11,15,4,43
255,almug,a,l,m,u,g,6,7,11,15,15,54
256,alods,a,l,o,d,s,6,7,5,10,1,29
257,aloed,a,l,o,e,d,6,7,5,1,4,23
258,aloes,a,l,o,e,s,6,7,5,1,1,20
259,aloha,a,l,o,h,a,6,7,5,18,5,41
260,aloin,a,l,o,i,n,6,7,5,4,8,30
261,aloos,a,l,o,o,s,6,7,5,8,1,27
262,alowe,a,l,o,w,e,6,7,5,23,2,43
263,altho,a,l,t,h,o,6,7,8,18,9,48
264,altos,a,l,t,o,s,6,7,8,8,1,30
265,alula,a,l,u,l,a,6,7,9,5,5,32
266,alums,a,l,u,m,s,6,7,9,14,1,37
267,alure,a,l,u,r,e,6,7,9,7,2,31
268,alvar,a,l,v,a,r,6,7,19,2,7,41
269,alway,a,l,w,a,y,6,7,18,2,3,36
270,amahs,a,m,a,h,s,6,13,2,18,1,40
271,amain,a,m,a,i,n,6,13,2,4,8,33
272,amate,a,m,a,t,e,6,13,2,3,2,26
273,amaut,a,m,a,u,t,6,13,2,15,6,42
274,amban,a,m,b,a,n,6,13,16,2,8,45
275,ambit,a,m,b,i,t,6,13,16,4,6,45
276,ambos,a,m,b,o,s,6,13,16,8,1,44
277,ambry,a,m,b,r,y,6,13,16,7,3,45
278,ameba,a,m,e,b,a,6,13,7,17,5,48
279,ameer,a,m,e,e,r,6,13,7,1,7,34
280,amene,a,m,e,n,e,6,13,7,6,2,34
281,amens,a,m,e,n,s,6,13,7,6,1,33
282,ament,a,m,e,n,t,6,13,7,6,6,38
283,amias,a,m,i,a,s,6,13,4,2,1,26
284,amice,a,m,i,c,e,6,13,4,16,2,41
285,amici,a,m,i,c,i,6,13,4,16,11,50
286,amide,a,m,i,d,e,6,13,4,10,2,35
287,amido,a,m,i,d,o,6,13,4,10,9,42
288,amids,a,m,i,d,s,6,13,4,10,1,34
289,amies,a,m,i,e,s,6,13,4,1,1,25
290,amiga,a,m,i,g,a,6,13,4,12,5,40
291,amigo,a,m,i,g,o,6,13,4,12,9,44
292,amine,a,m,i,n,e,6,13,4,6,2,31
293,amino,a,m,i,n,o,6,13,4,6,9,38
294,amins,a,m,i,n,s,6,13,4,6,1,30
295,amirs,a,m,i,r,s,6,13,4,7,1,31
296,amlas,a,m,l,a,s,6,13,6,2,1,28
297,amman,a,m,m,a,n,6,13,11,2,8,40
298,ammon,a,m,m,o,n,6,13,11,8,8,46
299,ammos,a,m,m,o,s,6,13,11,8,1,39
300,amnia,a,m,n,i,a,6,13,3,4,5,31
301,amnic,a,m,n,i,c,6,13,3,4,16,42
302,amnio,a,m,n,i,o,6,13,3,4,9,35
303,amoks,a,m,o,k,s,6,13,5,9,1,34
304,amole,a,m,o,l,e,6,13,5,5,2,31
305,amort,a,m,o,r,t,6,13,5,7,6,37
306,amour,a,m,o,u,r,6,13,5,15,7,46
307,amove,a,m,o,v,e,6,13,5,20,2,46
308,amowt,a,m,o,w,t,6,13,5,23,6,53
309,amped,a,m,p,e,d,6,13,14,1,4,38
310,ampul,a,m,p,u,l,6,13,14,15,10,58
311,amrit,a,m,r,i,t,6,13,1,4,6,30
312,amuck,a,m,u,c,k,6,13,9,16,13,57
313,amyls,a,m,y,l,s,6,13,20,5,1,45
314,anana,a,n,a,n,a,6,9,2,6,5,28
315,anata,a,n,a,t,a,6,9,2,3,5,25
316,ancho,a,n,c,h,o,6,9,12,18,9,54
317,ancle,a,n,c,l,e,6,9,12,5,2,34
318,ancon,a,n,c,o,n,6,9,12,8,8,43
319,andro,a,n,d,r,o,6,9,13,7,9,44
320,anear,a,n,e,a,r,6,9,7,2,7,31
321,anele,a,n,e,l,e,6,9,7,5,2,29
322,anent,a,n,e,n,t,6,9,7,6,6,34
323,angas,a,n,g,a,s,6,9,15,2,1,33
324,anglo,a,n,g,l,o,6,9,15,5,9,44
325,anigh,a,n,i,g,h,6,9,4,12,12,43
326,anile,a,n,i,l,e,6,9,4,5,2,26
327,anils,a,n,i,l,s,6,9,4,5,1,25
328,anima,a,n,i,m,a,6,9,4,14,5,38
329,animi,a,n,i,m,i,6,9,4,14,11,44
330,anion,a,n,i,o,n,6,9,4,8,8,35
331,anise,a,n,i,s,e,6,9,4,13,2,34
332,anker,a,n,k,e,r,6,9,17,1,7,40
333,ankhs,a,n,k,h,s,6,9,17,18,1,51
334,ankus,a,n,k,u,s,6,9,17,15,1,48
335,anlas,a,n,l,a,s,6,9,6,2,1,24
336,annal,a,n,n,a,l,6,9,3,2,10,30
337,annas,a,n,n,a,s,6,9,3,2,1,21
338,annat,a,n,n,a,t,6,9,3,2,6,26
339,anoas,a,n,o,a,s,6,9,5,2,1,23
340,anole,a,n,o,l,e,6,9,5,5,2,27
341,anomy,a,n,o,m,y,6,9,5,14,3,37
342,ansae,a,n,s,a,e,6,9,10,2,2,29
343,antae,a,n,t,a,e,6,9,8,2,2,27
344,antar,a,n,t,a,r,6,9,8,2,7,32
345,antas,a,n,t,a,s,6,9,8,2,1,26
346,anted,a,n,t,e,d,6,9,8,1,4,28
347,antes,a,n,t,e,s,6,9,8,1,1,25
348,antis,a,n,t,i,s,6,9,8,4,1,28
349,antra,a,n,t,r,a,6,9,8,7,5,35
350,antre,a,n,t,r,e,6,9,8,7,2,32
351,antsy,a,n,t,s,y,6,9,8,13,3,39
352,anura,a,n,u,r,a,6,9,9,7,5,36
353,anyon,a,n,y,o,n,6,9,20,8,8,51
354,apace,a,p,a,c,e,6,11,2,16,2,37
355,apage,a,p,a,g,e,6,11,2,12,2,33
356,apaid,a,p,a,i,d,6,11,2,4,4,27
357,apayd,a,p,a,y,d,6,11,2,22,4,45
358,apays,a,p,a,y,s,6,11,2,22,1,42
359,apeak,a,p,e,a,k,6,11,7,2,13,39
360,apeek,a,p,e,e,k,6,11,7,1,13,38
361,apers,a,p,e,r,s,6,11,7,7,1,32
362,apert,a,p,e,r,t,6,11,7,7,6,37
363,apery,a,p,e,r,y,6,11,7,7,3,34
364,apgar,a,p,g,a,r,6,11,15,2,7,41
365,aphis,a,p,h,i,s,6,11,24,4,1,46
366,apian,a,p,i,a,n,6,11,4,2,8,31
367,apiol,a,p,i,o,l,6,11,4,8,10,39
368,apish,a,p,i,s,h,6,11,4,13,12,46
369,apism,a,p,i,s,m,6,11,4,13,14,48
370,apode,a,p,o,d,e,6,11,5,10,2,34
371,apods,a,p,o,d,s,6,11,5,10,1,33
372,apoop,a,p,o,o,p,6,11,5,8,17,47
373,aport,a,p,o,r,t,6,11,5,7,6,35
374,appal,a,p,p,a,l,6,11,14,2,10,43
375,appay,a,p,p,a,y,6,11,14,2,3,36
376,appel,a,p,p,e,l,6,11,14,1,10,42
377,appro,a,p,p,r,o,6,11,14,7,9,47
378,appui,a,p,p,u,i,6,11,14,15,11,57
379,appuy,a,p,p,u,y,6,11,14,15,3,49
380,apres,a,p,r,e,s,6,11,1,1,1,20
381,apses,a,p,s,e,s,6,11,10,1,1,29
382,apsis,a,p,s,i,s,6,11,10,4,1,32
383,apsos,a,p,s,o,s,6,11,10,8,1,36
384,apted,a,p,t,e,d,6,11,8,1,4,30
385,apter,a,p,t,e,r,6,11,8,1,7,33
386,aquae,a,q,u,a,e,6,25,9,2,2,44
387,aquas,a,q,u,a,s,6,25,9,2,1,43
388,araba,a,r,a,b,a,6,6,2,17,5,36
389,araks,a,r,a,k,s,6,6,2,9,1,24
390,arame,a,r,a,m,e,6,6,2,14,2,30
391,arars,a,r,a,r,s,6,6,2,7,1,22
392,arbas,a,r,b,a,s,6,6,16,2,1,31
393,arced,a,r,c,e,d,6,6,12,1,4,29
394,archi,a,r,c,h,i,6,6,12,18,11,53
395,arcos,a,r,c,o,s,6,6,12,8,1,33
396,arcus,a,r,c,u,s,6,6,12,15,1,40
397,ardeb,a,r,d,e,b,6,6,13,1,21,47
398,ardri,a,r,d,r,i,6,6,13,7,11,43
399,aread,a,r,e,a,d,6,6,7,2,4,25
400,areae,a,r,e,a,e,6,6,7,2,2,23
401,areal,a,r,e,a,l,6,6,7,2,10,31
402,arear,a,r,e,a,r,6,6,7,2,7,28
403,areas,a,r,e,a,s,6,6,7,2,1,22
404,areca,a,r,e,c,a,6,6,7,16,5,40
405,aredd,a,r,e,d,d,6,6,7,10,4,33
406,arede,a,r,e,d,e,6,6,7,10,2,31
407,arefy,a,r,e,f,y,6,6,7,19,3,41
408,areic,a,r,e,i,c,6,6,7,4,16,39
409,arene,a,r,e,n,e,6,6,7,6,2,27
410,arepa,a,r,e,p,a,6,6,7,11,5,35
411,arere,a,r,e,r,e,6,6,7,7,2,28
412,arete,a,r,e,t,e,6,6,7,3,2,24
413,arets,a,r,e,t,s,6,6,7,3,1,23
414,arett,a,r,e,t,t,6,6,7,3,6,28
415,argal,a,r,g,a,l,6,6,15,2,10,39
416,argan,a,r,g,a,n,6,6,15,2,8,37
417,argil,a,r,g,i,l,6,6,15,4,10,41
418,argle,a,r,g,l,e,6,6,15,5,2,34
419,argol,a,r,g,o,l,6,6,15,8,10,45
420,argon,a,r,g,o,n,6,6,15,8,8,43
421,argot,a,r,g,o,t,6,6,15,8,6,41
422,argus,a,r,g,u,s,6,6,15,15,1,43
423,arhat,a,r,h,a,t,6,6,24,2,6,44
424,arias,a,r,i,a,s,6,6,4,2,1,19
425,ariel,a,r,i,e,l,6,6,4,1,10,27
426,ariki,a,r,i,k,i,6,6,4,9,11,36
427,arils,a,r,i,l,s,6,6,4,5,1,22
428,ariot,a,r,i,o,t,6,6,4,8,6,30
429,arish,a,r,i,s,h,6,6,4,13,12,41
430,arked,a,r,k,e,d,6,6,17,1,4,34
431,arled,a,r,l,e,d,6,6,6,1,4,23
432,arles,a,r,l,e,s,6,6,6,1,1,20
433,armed,a,r,m,e,d,6,6,11,1,4,28
434,armer,a,r,m,e,r,6,6,11,1,7,31
435,armet,a,r,m,e,t,6,6,11,1,6,30
436,armil,a,r,m,i,l,6,6,11,4,10,37
437,arnas,a,r,n,a,s,6,6,3,2,1,18
438,arnut,a,r,n,u,t,6,6,3,15,6,36
439,aroba,a,r,o,b,a,6,6,5,17,5,39
440,aroha,a,r,o,h,a,6,6,5,18,5,40
441,aroid,a,r,o,i,d,6,6,5,4,4,25
442,arpas,a,r,p,a,s,6,6,14,2,1,29
443,arpen,a,r,p,e,n,6,6,14,1,8,35
444,arrah,a,r,r,a,h,6,6,1,2,12,27
445,arras,a,r,r,a,s,6,6,1,2,1,16
446,arret,a,r,r,e,t,6,6,1,1,6,20
447,arris,a,r,r,i,s,6,6,1,4,1,18
448,arroz,a,r,r,o,z,6,6,1,8,23,44
449,arsed,a,r,s,e,d,6,6,10,1,4,27
450,arses,a,r,s,e,s,6,6,10,1,1,24
451,arsey,a,r,s,e,y,6,6,10,1,3,26
452,arsis,a,r,s,i,s,6,6,10,4,1,27
453,artal,a,r,t,a,l,6,6,8,2,10,32
454,artel,a,r,t,e,l,6,6,8,1,10,31
455,artic,a,r,t,i,c,6,6,8,4,16,40
456,artis,a,r,t,i,s,6,6,8,4,1,25
457,aruhe,a,r,u,h,e,6,6,9,18,2,41
458,arums,a,r,u,m,s,6,6,9,14,1,36
459,arval,a,r,v,a,l,6,6,19,2,10,43
460,arvee,a,r,v,e,e,6,6,19,1,2,34
461,arvos,a,r,v,o,s,6,6,19,8,1,40
462,aryls,a,r,y,l,s,6,6,20,5,1,38
463,asana,a,s,a,n,a,6,17,2,6,5,36
464,ascon,a,s,c,o,n,6,17,12,8,8,51
465,ascus,a,s,c,u,s,6,17,12,15,1,51
466,asdic,a,s,d,i,c,6,17,13,4,16,56
467,ashed,a,s,h,e,d,6,17,24,1,4,52
468,ashes,a,s,h,e,s,6,17,24,1,1,49
469,ashet,a,s,h,e,t,6,17,24,1,6,54
470,asked,a,s,k,e,d,6,17,17,1,4,45
471,asker,a,s,k,e,r,6,17,17,1,7,48
472,askoi,a,s,k,o,i,6,17,17,8,11,59
473,askos,a,s,k,o,s,6,17,17,8,1,49
474,aspen,a,s,p,e,n,6,17,14,1,8,46
475,asper,a,s,p,e,r,6,17,14,1,7,45
476,aspic,a,s,p,i,c,6,17,14,4,16,57
477,aspie,a,s,p,i,e,6,17,14,4,2,43
478,aspis,a,s,p,i,s,6,17,14,4,1,42
479,aspro,a,s,p,r,o,6,17,14,7,9,53
480,assai,a,s,s,a,i,6,17,10,2,11,46
481,assam,a,s,s,a,m,6,17,10,2,14,49
482,asses,a,s,s,e,s,6,17,10,1,1,35
483,assez,a,s,s,e,z,6,17,10,1,23,57
484,assot,a,s,s,o,t,6,17,10,8,6,47
485,aster,a,s,t,e,r,6,17,8,1,7,39
486,astir,a,s,t,i,r,6,17,8,4,7,42
487,astun,a,s,t,u,n,6,17,8,15,8,54
488,asura,a,s,u,r,a,6,17,9,7,5,44
489,asway,a,s,w,a,y,6,17,18,2,3,46
490,aswim,a,s,w,i,m,6,17,18,4,14,59
491,asyla,a,s,y,l,a,6,17,20,5,5,53
492,ataps,a,t,a,p,s,6,12,2,11,1,32
493,ataxy,a,t,a,x,y,6,12,2,25,3,48
494,atigi,a,t,i,g,i,6,12,4,12,11,45
495,atilt,a,t,i,l,t,6,12,4,5,6,33
496,atimy,a,t,i,m,y,6,12,4,14,3,39
497,atlas,a,t,l,a,s,6,12,6,2,1,27
498,atman,a,t,m,a,n,6,12,11,2,8,39
499,atmas,a,t,m,a,s,6,12,11,2,1,32
500,atmos,a,t,m,o,s,6,12,11,8,1,38
501,atocs,a,t,o,c,s,6,12,5,16,1,40
502,atoke,a,t,o,k,e,6,12,5,9,2,34
503,atoks,a,t,o,k,s,6,12,5,9,1,33
504,atoms,a,t,o,m,s,6,12,5,14,1,38
